,pid,hght,n,bx,by,bz,rt,rx,ry,rz,rv,rvx,rvy,rvz,mnv,mnvt,mnvx,mnvy,mnvz,mxv,mxvt,mxvx,mxvy,mxvz,ta1t,ta1x,ta1y,ta1z,at1t,at1x,at1y,at1z,lr1t,lr1x,lr1y,lr1z,rl1t,rl1x,rl1y,rl1z,pl,spl,plr,name,status,arc_angle,arc,Release,jump_dist,approx_h
90,203501,6.4166641,430,-0.43023292338005,0.410626709329946,3.0837350143164,0.377,0.0245901425828655,-0.0198450973080113,8.35320354439049,12.7957624227982,-6.17362773157398,0.276026249690558,11.2045377469183,7.80533083090872,0.307,0.276098972356568,-0.0434851066717278,7.69276397418578,23.477454501208,0.112,-0.551424806441498,0.524650135032138,4.9410908853918,0.066,-0.695229907737779,0.578629043951193,3.93918919160931,0.283,0.295621060109497,-0.0374269262178033,7.50006909449681,0.303,0.281978741180622,-0.0436482942225146,7.66152105577687,0.071,-0.692799071551425,0.579647966618572,4.03352885452712,5.62467434712048,5.3065495933877,1.05994945456256,Tim Hardaway Jr.,1,62.5212434273662,High,Slow,Mid,6.0
91,201564,6.4166641,426,-0.733784963957422,0.320158943526833,3.01933689314091,0.394,-0.133586400416282,-0.0318999889977206,8.22689956596446,15.8028812369216,-7.03134994302095,1.11811972836748,14.1081884606091,8.14789668736004,0.308,0.136503563040363,-0.0906808732702719,7.30313282005301,22.2456179783288,0.114,-0.792153137883246,0.47146972148098,4.84222970625435,0.062,-0.983239106000752,0.489184737827299,3.80010139926843,0.317,0.139192994795054,-0.088925713703907,7.37681422090116,0.306,0.13524390118541,-0.0907280863237053,7.28683631343074,0.081,-0.952888831201754,0.501674368735485,4.13645831129497,5.61618364891211,5.25384552485438,1.06896626905828,O.J. Mayo,1,44.24120052375188,Medium,Slow,Mid,6.0
92,202703,6.8333306,426,-0.597788159894886,0.217948587330969,3.66899187104844,0.378,-0.0483843558953353,0.0138246327047714,8.52112805911915,14.6969236016399,-6.34348028479839,0.768784181222796,13.2351347598547,10.7012171913041,0.295,0.0352095118088618,-0.0165707204144112,7.54824747767285,16.9689212233992,0.112,-0.893219308660365,0.145421278936537,5.22827380554736,0.081,-0.92422700271041,0.200349509520776,4.71400684787333,0.333,0.110439404263686,-0.0101007009652879,7.9637127557742,0.292,0.024997912718611,-0.0165971620041392,7.51614058782894,0.035,-0.823077438588912,0.228191737733124,4.07428672016121,5.18253574208432,4.88740592914961,1.06038577871637,Nikola Mirotic,1,44.11007146643849,Medium,Slow,Mid,7.0
93,202339,6.0833309,421,0.435661681185975,0.461194254958647,3.11783882977912,0.584,-0.0047861340144977,0.024824175814665,7.53098853394515,16.2638114305603,-8.46439842125898,-0.452968568754888,13.8802140145868,-3.32676909852702,0.0619999999999999,0.167296389290835,0.440786532728187,2.92422747014192,15.6201311495101,0.302,-0.357366108211539,0.536306516161556,4.43564187032747,0.25,-0.514639422646712,0.555203925645165,3.68270355432637,0.485,0.37846861485837,0.0854298759530486,6.38707205755218,0.036,0.260323005037433,0.434016367072951,3.00800882359441,0.0579999999999999,0.181731705525027,0.441266612397711,2.93752641016649,5.86797148957141,4.45649003536053,1.31672492096051,Eric Bledsoe,1,36.03744345118983,Low,Slow,Slow,6.0
94,203477,0.0,420,-0.272255163767529,0.0703399375451696,2.69510006960885,0.388,0.0627067678171353,-0.0401671662037281,7.93465384525558,13.9831161348381,-8.7987377958443,0.596144103101145,10.8514682070533,5.67082420385744,0.318,0.482534632672379,-0.0775815490902456,7.37999551932113,23.9529226286876,0.117,-0.34964018200643,0.300356141275116,4.79764538093161,0.0650000000000001,-0.567250070932556,0.294474634876015,3.67787529364415,0.276,0.559494041876778,-0.0708187157585537,7.10554555709321,0.301,0.531553794690391,-0.0811543700422946,7.28131469595401,0.092,-0.498579087742657,0.315209775205249,4.21205157477822,5.72390188695114,5.25141267503172,1.08997373490869,Isaiah Canaan,1,0.0,Medium,Slow,Mid,0.0
95,1891,6.1666642,417,-0.0439286588999507,0.13149359655212,3.09656397500058,0.574,-0.0653314820891368,0.017510655082116,8.38544634036784,13.2129723740411,-8.93586555760955,-0.844889665671068,9.69634504059868,8.66736321584937,0.512,0.336689094366369,0.0776036645049836,7.82584120327579,15.9263952516459,0.298,-0.642960848862828,0.394483256776332,5.22404624699552,0.225,-0.944693875926506,0.431661082421791,4.10991322801027,0.455,0.447112584540409,0.14420528226254,7.31521914587202,0.0,0.0,0.0,0.0,0.235,-0.939828269581274,0.43252199477249,4.25361191863803,6.66794027335059,5.29015376586346,1.26044356524715,Jason Terry,1,45.91434862555228,Medium,Slow,Mid,6.0
96,201150,7.0833305,416,-0.269895012819511,-0.106094399499223,3.68289015364931,0.371,0.029882828139166,0.0116239121512893,7.88677580468368,15.6349254849028,-7.3293230418378,-0.576204351644869,13.7985472862905,6.87811599591814,0.287,0.265783512960296,0.0665294789575429,7.07254437971951,17.5260069764906,0.109,-0.618661998117262,0.22235942232031,5.01664688944339,0.1,-0.621406298225734,0.204706094984506,4.85929812868727,0.303,0.277654916919901,0.0541569669492608,7.18447094207205,0.0,0.0,0.0,0.0,0.149,-0.526456112278119,0.261076571918513,5.67507061450369,4.63146591625285,4.21620432638178,1.09849180868031,Spencer Hawes,1,38.25025707950394,Low,Slow,Slow,7.0
97,202391,6.2499975,415,0.25335809082546,-0.167967730488574,3.15734365708625,0.461,0.000975037347119678,-0.0137937388764066,8.16289623468231,13.6462416087798,-6.78724170227123,0.0283867399042125,11.8386001838537,8.2261186416197,0.386,0.323237177647938,-0.0032857308706148,7.42989537480615,19.9644945318136,0.192,-0.512290369062776,0.0807184701939225,5.07922187456899,0.144,-0.716314068836605,0.0407666238880436,4.20834017475452,0.359,0.349213049098433,0.0080592418666108,7.20181699965242,0.436,0.147958452835569,-0.0150342759423645,7.87983945125928,0.232,-0.233894228975194,0.0947214743810066,5.82683877797501,5.89517360405813,5.01428194584741,1.17567653110137,Jeremy Lin,1,49.60816271144394,Medium,Slow,Mid,6.0
98,203079,6.2499975,414,-0.207938680580707,0.383566237442921,2.97780815817637,0.468,-0.0325681080750709,0.0079841849481271,8.66809677332831,13.2697445116864,-7.12381826308216,0.652545126220283,11.1763821345843,7.12838962751494,0.388,0.343551798004854,-0.0592420185859146,7.96383234554726,22.7716066018049,0.114,-0.704403075242735,0.746911899558273,4.41250374745686,0.111,-0.704775460541955,0.746725329754853,4.3442105124388,0.34,0.39970369241632,-0.0542113683937569,7.60171050604306,0.366,0.382962566021455,-0.0672727253703941,7.80430195640699,0.113,-0.704622960733538,0.746913028238911,4.38973214085506,6.45031924999746,5.70536600399878,1.13057063218671,Dion Waiters,1,50.955407670162245,Medium,Slow,Fast,6.0
99,101141,6.7499972999999995,411,-0.471569985315361,-0.0979933870096897,3.7047968150599,0.467,-0.0086890104016332,0.00072972106636144,8.30167315995678,13.3659822018911,-6.87959987226291,0.478227846968305,11.4495364074365,5.16765603696445,0.31,0.268833345844212,0.0338265574335345,7.16117197603217,16.4206356324792,0.112,-0.7695023462825,0.2554197338864929,4.83721623758427,0.108,-0.770023939084414,0.246707012864919,4.77156645030666,0.365,0.359981427257249,-0.0152676979029188,7.49496058234707,0.345,0.340829518974498,-0.0187684417539537,7.36192973636722,0.156,-0.67275732741038,0.305482246218528,5.5140707178136,5.16472175780057,4.62117703396849,1.11762040706008,Ersan Ilyasova,1,43.77890297382031,Medium,Slow,Mid,7.0
